Strategy,Total Return (%),Annual Return (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Calmar Ratio,Win Rate (%),Profit Factor,Volatility (%),Total Trades
Buy & Hold,19.6794906054297,22.91709468294858,1.7362097694652845,2.8844086134216513,-6.216636924786654,3.4686469597166676,100.0,195721.3748750001,8.963962213861269,1
ML Strategy (XGBoost),1.7830779050878949,2.050715742105025,-1.9752827088881413,-0.9513212504106014,-0.9547546791279365,2.200218022856652,50.0,2.7699576167626465,1.974062512687551,8
